overview;like
jamesgunn chrispratt zoesaldana davebautista temerari aventurer pet quill objet implac cazarrecompens rob misteri esfer codici ron villan cuy ambicion amenaz univers escap incans ron quill ve oblig pact complic tregu cuartet disparat inadapt rocket mapach armad rifl groot humanoid form arbol letal enigmat gamor vengat drax the destroy quill descubr esfer deber derrot extravag rival desesper salv destin galaxi;1
dannyboyle ewanmcgregor ewenbremner jonnyleemiller mark renton jov escoc adict heroin rest amig viv mund apart marg realid grup violent alcohol psicopat drogadict desesper mujerieg conoc encicloped connery entusiast caminat iggy pop;1
garyyates danicamckellar kavansmith tammygillis molly nick problem compromis prejuici matrimoni toc dam honor padrin bod amig comun esper encontr amor organiz bod;0
robcohen tylerperry rachelnichols jeanreno bas best sell jam patterson ocasion detectiv alex cross enfrent criminal asesin diner plac alex tyler perry star trek psicolog detectiv fbi inmers mision component band criminal brutal asesin aparent parac ajust cuent band rival divers investig descubr extran relacion muert ocurr detectiv tem muert vincul sanguinari asesin seri llam michael sulliv matthew fox perd disfrut mat peligr cas aument alex descubiert sulliv;0
davidzucker ashtonkutcher tarareid andyrichter jov ejecut tom stanisfield esper ansi rig jef jack taylor asciend empres centr atencion atract hij taylor ojit derech padr present oportun cuid cas jef tom dispon demostr capac pas acerc hij;0
paolody cathyazanza andreasmunoz javiergodino julioperillan dram bas memori ignaci loyol fundador compani jesus orden jesuit jov sold inig ignaci loyol ve oblig renunci carrer milit result her batall present desgraci proporcion lectur convalecent libr religi profundiz fe catol imitacion sant loyol encontr inmers batall enfrent rechaz gent cercan neces luch;0
andrewstanton taylorkitsch lynncollins samanthamorton adaptacion ‘ princes mart ’ novel fantast edgar ric burroughs pelicul pantall aventur epic desarroll devast planet mart mund habit tribus guerrer salvaj john cart veteran guerr civil norteamerican hall planet mart ve inmers misteri guerr extran ejercit marcian encuentr tars tark princes dejah thoris;0
jenniferyuhnelson alessandrocarloni jackblack bryancranston dustinhoffman perd padr po aparec duo reun viaj parais secret pand monton hilar osos villan sobrenatural kai comienz recorr chin venc maestr kung fu po deber impos aprend entren comun replet divert torp herman form equip definit kung fu pand;0
alfonsocuaron sandrabullock georgeclooney edharris pase espacial rutinari astronaut sufr grav accident qued flot espaci doctor ryan ston brillant ingen mision espacial shuttl acompan veteran astronaut matt kowalsky pase ocurr desastr shuttl qued destroz dej ryan matt complet intent medi volv tierr;1
davidyates danielradcliffe rupertgrint emmawatson desastr azot inglaterr harry companer vuelv hogwarts curs sext ano estudi med segur convert colegi fortalez estudi victim ataqu inexplic harry sospech drac malfoy respons decid averigu razon albus dumbledor protagon explor lord voldemort recuerd director recolect dumbledor plane prepar muchach batall;1
georgelucas ewanmcgregor natalieportman haydenchristensen capitul sag star wars anakin skywalk definit pas oscur episodi iii aparecer grievous implac mit ali mit robot lid ejercit separat dro sith amos oscur fuerz enemig jedi practic extermin jedi mil anos orden sobrevivi clandestin;1
timburton miawasikowska johnnydepp annehathaway alici wasikowsk jov anos asist fiest mansion victorian descubr punt recib propuest matrimoni frent monton gent estir alta socied alici escap corr conej blanc entra agujer acab maravill visit anos recuerd maravill rein pacif rein roj helen bonham cart derroc herman rein blanc anne hathaway criatur maravill list revuelt esper alici ayud ayud record visit magic rein bas popul libr lewis carroll ambient diez anos event cont;1
rajagosnell freddieprinzejr sarahmichellegellar matthewlillard bas personaj seri scooby doo cre hann barber anos choqu egos oblig mystery inc cerr puert scooby doo avisp amig llam individual spooky island investig seri incident paranormal parqu atraccion propietari spooky island emil mondavarious volv unir joven resuelv misteri secret sobrenatural ahuyent multitud universitari frecuent;0
davegreen meganfox stephenamell willarnett michelangel donatell leonard raphael regres april ’ neil meg fox vern fenwick will arnett vigil enmascar casey jon steph amell combat villan malign sup villan shredd escap prision une fuerz cientif loc baxt stockm tyler perry secuac bebob gary anthony williams rocksteady sup estrell wwe steph sheamus farrelly cab diabol plan conquist mund tortug prep enfrent shredd band tendr luch enemig intencion malign krang;0
davidayer willsmith margotrobbie joelkinnaman gobiern ee uu respond visit alienigen tierr intencion malign amand mur wall lid agenci secret ofrec curios solucion reclut villan cruel habil letal magic trabaj demasi opcion negat supervillan peligr mund acced colabor ejecut peligr mision secret suic logr limpi expedient;1
scottderrickson benedictcumberbatch chiwetelejiofor rachelmcadams vid dr steph strang cambi accident automovilist dej malher man medicin tradicional fall ve oblig busc esper cur impens comun aisl nepal llam kam taj rapid descubr centr recuperacion line batall fuerz oscur ocult empen destru realid strang armad magic recient adquir ve oblig eleg volv antigu vid riquez prestigi dej defend mund mag planet;1
georgemiller elijahwood robinwilliams brittanymurphy mumbl jov pingüin emper viv antart animal especi necesit cant atra parej voz horribl mumbl expres atra hembr trav increibl talent bail claqu;0
bradfurman bryancranston dianekruger johnleguizamo bas histori real ocurr anos narr polici estadounidens infiltr band narc colombian logr objet robert mazur bryan cranston infiltr kathy ertz dian krug fingir futur espos emir abreu john leguizam polici metod tradicional cod cupul organizacion criminal operacion encubiert antidrog histori;0
paulfeig melissamccarthy kristenwiig katemckinnon manhatt york treint anos fantasm demoni vuelt escap infi destru ciud equip cazafantasm form grup mujer dispuest termin amenaz espectral;0
justinlin chrispine zacharyquinto karlurban uss enterpris nav insigni flot estel lider capit jam kirk chris pin vuelv surc univers asegur proteccion tierr rest planet ali tranquil dur peligr acech etap mision llev territori desconoc travesi vigil convertir carrer supervivent espacial enfrent fier enemig krall idris elba especi alienigen avanz fren siniestr plan kirk deber reun equip recurs resolv desafi enfrent encontr volv tierr mision proteg futur raz human preserv armoni especi entreg sag star trek;1
stevenspielberg tomcruise colinfarrell samanthamorton washington dc ano polici utiliz tecnologi psiquic arrest enjuici asesin comet crim futur predec culpabl deten unid elit precrim pued delinqu prueb bas precogs psiquic cuy vision asesinat fall;1
garytrousdale kirkwise tomhulce demimoore tonyjay ocult mir ciudadan paris alto campanari catedral notr dam viv quasimod tutor juez froll permit baj campanari compani simpat gargol piedr victor hug lavern quasimod pas observ bullici ven gent decid baj escond conoc bell esmerald vivir aventur;1
michaeltiddes marlonwayans kalihawk fredwillard parodi oficial cincuent sombr grey descubr pasari christi grey negr blanc cuart roj dolor jueg color hannah recib encarg entrevist jov empresari christi black inexpert inocent chic olvid comprend dese parej inici apasion desenfren relacion hannah sorprend peculiar practic erot black descubr limit oscur dese;1
jamescameron samworthington zoesaldana stephenlang ano jak sully marin conden viv sill rued autent guerrer design pandor empres extrayend mineral extran resolv crisis energet tierr contrarrest toxic atmosfer pandor cre program avat graci human mantien concienci unid avat cuerp biolog control form remot sobreviv air letal cuerp cre adn human mezcl adn nativ pandor na vi convert avat jak camin mision cons infiltr na vi convert obstacul extraccion mineral neytiri bell na vi salv vid jak cambi jak super prueb admit clan;1
melbrooks genewilder peterboyle martyfeldman parodi cin terror anos film blanc negr niet legendari doctor frankenstein gen wild convert reconoc neurocirujan hac carg castill abuel ayud jorob igor marty feldm escultural asistent teri garr decid recr experiment ancestr;1
timmiller ryanreynolds morenabaccarin edskrein bas anti hero convencional marvel deadpool narr orig oper fuerz especial llam wad wilson reconvert mercenari somet cruel experiment adquier curacion rap adopt wad alter ego deadpool armad habil oscur retorc sentido humor deadpool intent caz hombr destru vid;1
samtaylorjohnson dakotajohnson jamiedornan jenniferehle estudi literatur anastasi steel recib encarg entrevist exit jov empresari christi grey qued impresion encontr hombr atract seductor intimid inexpert inocent ana olvid comprend dese parej inici apasion relacion ana sorprend peculiar practic erot grey descubr limit oscur dese;1
camilledelamarre edskrein raystevenson loanchabanol baj fond franci frank martin ed skrein conoc « transport » conductor mercenari compr diner frank rig simpl regl nombr pregunt renegoci transport cos preci adecu conoc misteri muj fatal llam anna loan chabanol lider grup mortifer asalt detendr acab despiad band rus trafic human anna frank asegur colaboracion mantien reh padr ray stevenson padr hij oblig anna peligr band justici;0
domekarukoski nicholashoult lilycollins genevieveoreilly biopic escritor lingüist profesor universitari tolki autor senor anill hobbitt obras tolki explor anos formacion escritor busqued amist amor inspiracion artist grup inquiet estudi form context produc estall guerr mundial amenaz destroz “ asociacion ” experient inspirari tolki escrib fam novel tierr medi;1
christopherleitch jasonbateman kimdarby johnastin todd howard jov empiez univers disting dem prim tio capac convert lob empez irle nivel transform licantrop facil principi repentin cambi personal perder gent apreci deber replant realment val pen estrell univers jason batem tom relev michael fox teen wolf narr ton comedi juvenil aventur adolescent conviert hombr lob;0
denniswidmyer kevinkölsch jasonclarke amyseimetz johnlithgow doctor louis cre clark mud muj rach seimetz hij pequen boston pueblecit main hog famili descubrir terren misteri escond arbol tragedi lleg louis habl vecin jud crandall lithgow desencaden peligr reaccion caden desat horribl consecuent;0
duncanjones paulapatton travisfimmel benfoster pacif rein azeroth punt entrar guerr enfrent terribl invasor orcos guerrer dej destru mund coloniz abrirs portal conect mund ejercit enfrent destruccion extincion her band punt choc enfrent cambi destin famili puebl hog empiez espectacul sag sacrifici descubr numer car guerr luch adaptacion popul videojueg homonim;0
sonsungdeuk kimnamjoon kimseokjin minyoongi grab estadi olimp seul bts world tour “ lov yourself ” conciert esper lleg exclus cin mund enter jorn unic event reunir fans mund celebr exit planetari miembr grup fenomen internacional precedent;0
dannysteinmann melaniekinnaman johnshepherd shavarross jason regres masc hockey dispuest practic viej costumbr truc entreg puest ojos joven resident retir mansion camin puebl adolescent acab mitad cuart jason capaz convert realid suen;0
bryansinger patrickstewart hughjackman ianmckellen mutant human variacion genet dot caracterist especial modern minori persegu mund clim rabi persecucion profesor xavi cre institut refugi inici prepar acept domin habil pon servici toler combat crecient histeri colect amenaz existent reputacion mutant lanz devast ataqu conllev caus public recriminacion mutant registration act william stryker lid milit pretend acab centr escuel men;1
johnlasseter tomhanks timallen joancusack andy campament dej juguet mcwhiggin compuls coleccion juguet valios secuestr woody buzz lighty rest juguet andy deber actu rapidez rescat pon frent operacion rescat enfrent multipl peligr divert situacion;1
ridleyscott harrisonford rutgerhauer seanyoung principi sigl xxi tyrell corporation desarroll tip robot llam nexus virtual ident hombr conoc replic replic nexus superior fuerz agil inteligent ingenier genet cre espaci exterior replic usad trabaj esclav arriesg exploracion colonizacion planet sangrient rebelion equip combat nexus coloni sideral replic declar proscrit tierr pen muert brig polici especial nombr unidad blad runners teni orden tir mat replic invasor llam ejecucion llam retir;1
gregmottola jonahhill michaelcera christophermintzplasse ultim noch estudi institut amig inadapt evan michael cer seth jonah hill experiment legendari odise compr beb fiest chic suen peripeci acompan indescript mclovin christoph mintz plass amig inadapt acab compr carnet fals pasaport compr alcohol;1
richardloncraine kirstendunst paulbettany samneill pet paul bettany tenist ocup ranking internacional decid particip torne wimbledon posibil exit practic nul torne conoc tenist american lizzi kirst dunst enamor afan superacion unid destrez rach suert catapult rond alcanc man viej suen gan titul slam;0
christophernolan hughjackman christianbale michaelcaine londr sigl xix epoc mag idol aclam joven ilusion propon alcanz fam sofistic robert angi hugh jackm consum artist tosc purist alfred bord christi bal geni creativ carec habil necesari ejecut public magic ide principi companer amig admir mutu truc ide fracas conviert enemig irreconcili intent medi super acab truc truc espectacul espectacul fragu feroz competicion limit;1
davegreen meganfox stephenamell willarnett michelangel donatell leonard raphael regres april ’ neil meg fox vern fenwick will arnett vigil enmascar casey jon steph amell combat villan malign sup villan shredd escap prision une fuerz cientif loc baxt stockm tyler perry secuac bebob gary anthony williams rocksteady sup estrell wwe steph sheamus farrelly cab diabol plan conquist mund tortug prep enfrent shredd band tendr luch enemig intencion malign krang;0
jandebont angelinajolie gerardbutler noahtaylor enfrent peligr desafi lar croft muestr fisic trepid aventur intrep heroin viaj templ sumerg agu busc legendari caj pandor lleg band criminal chin lider chen apoder preci objet lar tendr deten usen malef;0
damienchazelle milesteller jksimmons paulreiser objet andrew neim jov ambici bater jazz triunf elit conservatori music cost estudi marc fracas carrer literari padr andrew alberg suen grandez terenc fletch profesor conoc talent rigur metod ensen dirig conjunt jazz conservatori fletch elig andrew form conjunt musical dirig cambi vid jov pasion andrew alcanz perfeccion conviert obsesion despiad profesor limit capac salud mental;1
alexandreaja kayascodelario barrypepper rossanderson muj kay scodelari luch salv padr produc flor hurac categori trat huir torment dej encerr detr cas inund tendr frent legion extran depred;0
kirkdemicco chrissanders nicolascage emmastone ryanreynolds pelicul ambient prehistori crug lider famili alla comod hog destru terremot viaj desconoc aterr mund encuentr nom cautiv clan especial herman ment modern;0
timburton freddiehighmore johnnydepp davidkelly charli bucket freddi highmor nin famili pobr gan concurs nin part mund disfrut visit gigantesc fabric chocolat dirig excentr willy wonk johnny depp equip oomp loomp fabric mund fantast magic llen sabor dulc;1
robcohen brendanfraser jetli johnhannah conden bruj traidor permanec muert aparent etern despiad emper chin dragon diez mil guerrer esper ampli tumb barr olvid cient anos ejercit terracot engan jov aventurer arqueolog alex connel despiert suen etern temibl gobern qued remedi ped ayud unic person acerc muert padr monarc regres vid afan dominacion crec anos sirv sobrenatural inimagin emper momi cruz lejan orient legion deten ’ connell encuentr form;0
gretagerwig saoirseronan lauriemetcalf tracyletts jov estudi llam lady bird sao ron mud nort californi pas ano institut jov inclin artist suen viv cost trat encontr camin defin sombr protector madr lauri metcalf;1
jakekasdan camerondiaz jasonsegel justintimberlake profesor simplement pas elizabeth habl despiad inapropi beb coloc unic piens cas part manteng permit dej promet dej pon march plan sustitu ric guap profesor tendr compet amy profesor hiperact llen energi sarcast irreverent profesor gimnasi tir tej elizabeth consecuent salvaj escandal confabul aport estudi coleg educacion;0
matthewvaughn taronegerton colinfirth juliannemoore produc ataqu cuartel kingsm villan levant eggsy merlin ven oblig agenci american conoc statesm salv mund;1
joerusso anthonyrusso robertdowneyjr chrisevans chrishemsworth event devast vengador infinity war univers ruin accion than ayud ali qued vengador deber reun deshac accion restaur orden univers import consecuent cuart ultim entreg sag vengador;1
jcchandor benaffleck oscarisaac charliehunnam amig veteran militar antigu oper fuerz especial reun planific asalt zon fronteriz habit sudamer objet rob narcotraf prestigi carrer her anon asum peligr mision benefici situacion sufr gir inesper amenaz control desencaden seri consecuent imprev;0
 rondajeanrousey nikkibella ashleyfliehr pay per view histori wwe consistir complet combat femenin campeonat mujer wwe defend event cont torne mae young classic;0
leetamahori piercebrosnan halleberry rosamundpike agent investig secret plan zao hij pacif coronel moon ejercit core nort sospech zao plan ambici pong peligr estabil mundial sospech confirm descubr zao plane efect unific ejercit cor atac japon posterior enfrent unid escap bond descubiert zao apres tortur camin cruz jinx hall berry mirand frost rosamund pik jug papel vital ultim aventur;0
jonwatts tomholland jakegyllenhaal zendaya pet park decid irse michell jon ned rest amig pas vacacion europ event ocurr vengador endgam plan park dej superpoder seman ven trunc reclut nick fury unirs mysteri human provien tierr dimension multivers aparicion doctor strang luch elemental entes inmortal vien dimension domin element naturalez fueg agu air tierr park vuelv pon traj spid man cumpl labor;1
richardmarquand markhamill harrisonford carriefisher luk skywalk princes lei viaj tatooin liber consegu infiltr peligr guar jabb the hutt gangst tem galaxi reun equip reclut tribus ewoks combat fuerz imperial bosqu lun endor emper darth vad conspir convert luk oscur jov skywalk decid reaviv espiritu jedi padr guerr civil galact culmin enfrent fuerz rebeld unific estrell muert indefens incomplet batall decidir destin galaxi;1
claykaytis fergalreilly jasonsudeikis joshgad dannymcbride bas sag videojueg angry birds histori desarroll isla pobl enter aves felic vuel enter parais red pajar problem geni veloz chuck volatil bomb termin encaj isla recib visit misteri cerd verd tendr insolit margin descubr tram cerd;0
robertrodriguez alexapenavega darylsabara antoniobanderas matrimoni cortez aparent padr famili normal corrient realid superespi internacional secuestr malv floop hij tendr remedi salv trepid aventur llen accion peligr;0
davidfsandberg teresapalmer mariabello gabrielbateman rebecc jov persegu nin dian extran atac oscur espiritu dian relacion madr rebecc convirt adult dian herman pequen martin;1
uweboll dominicpurcell ralitsapaskaleva dariasimeonova asesin sueld retir asesin hij millonari decid salv top camin misteri colgant teletransport tierr magic deber cumpl destin salv lugaren faciner mantien oprim …;0
davidleitch dwaynejohnson jasonstatham idriselba spin off franquici cinematograf fast furious gas espan rap furios latinoamer centr personaj hobbs shaw interpret dwayn johnson jason statham hobbs polici aplic ley shaw mercenari ley shaw mat hobbs hobbs encarcel shaw hobbs estadounidens shaw britan vist hombr comun;0
javiercalvo javierambrossi macarenagarcia annacastillo belencuesta mari susan joven pas veran campament monj segovi aisl rod naturalez chic quier divert amant fiest electr latin noch rut discotec cercan intent herman bernard milagr descubr noch hab pist bail mari aparec mismisim dios trat cautiv music whitney houston viv particul viaj redescubr amig susan experiment revelacion mujer har descubr mund rode;1
williamkaufman mikemizanin melissaroxburgh joshblacker jak cart asign proteg ingen sistem descubr corrupt contrat defens milit estadounidens equip mercenari contrat mat interpong camin;0
stevenquale richardarmitage sarahwaynecallies mattwalsh transcurs ciud silverton azot seri torn precedent ciud merc ciclon errat mortal cazador torment predic lleg mayori person busc refugi corr vortic pon prueb dispuest lleg cazador torment fot unic vid cont trav ojos objet fotograf cazador profesional torment aficion busc emocion valient vecin ciud “ ojo torment ” direct ojo torment experiment ofrec madr naturalez moment extrem;0
 danimartin dualipa beberexha music awards conoc premi principal premi conced caden musical radi cre ano motiv celebracion cuarent aniversari fundacion caden nivel mundial premi entreg gal cuy fond destin benef premi principal conced votacion popul oyent caden espan hispanoamer oyent amer premi premi principal amer deslig premi entreg espan;0
mitchelllichtenstein jessweixler johnhensley joshpais jov adolescent dificultad acept sex dad educacion recib provocacion hombr rod inclu herman lleg virg matrimoni lleg asalt sexual descubr cuerp extran;1
christophermcquarrie tomcruise jeremyrenner simonpegg fmi disuelt ethan hunt tom cruis abandon suert equip enfrent sindicat red agent especial alt prepar entren grup empen cre orden mundial seri ataqu terror grav ethan reun equip une fuerz agent britan reneg ilsa faust rebecc ferguson miembr nacion secret grup enfrent mision impos fech quint entreg sag mision impos;0
johnsingleton paulwalker tyresegibson evamendes gas the fast and the furious bri connor polici ́ cai ́ do desgraci adict veloc ́ pag preci ven antigu jef altos mand fbi agent inco ́ gnit echo ́ perd investig ma ́ import habi ́ an emprend;0
breckeisner vindiesel roseleslie elijahwood plen guerr bruj human cazador bruj dispuest par pies valient cazador kauld vin diesel mat todopoder rein bruj diezm devot seguidor mor malv bruj maldec kauld don inmortal cazador mor quer separ amad espos hij qued pas anos dec dec kauld seguir busc mat bruj anor difunt muj hij enemig belial olafur darri olafsson malv hechicer deten ayud jov bruj chlo ros lesli;0
fernandogonzalezmolina abrilzamora documental narr experient person espan ugand rusi franci circunst dificil atrev viv orgull alegri compromis reunir madr celebracion inolvid abril acab comenz viaj cuerp respet alma ruth activ lesbian viv ugand nick parej max conviv rusi hac pas prim geen actriz prepar com mund pes manteng contact famili tim saltador trampolin homosexual sord demuestr capaz super obstacul madr prepar worldprid millon person mund lleg visit ciud celebr event fiest seman oportun disfrut visibil incompar respet divers;0
bobclark jonvoight scottbaio vanessaangel kahun superbeb misteri complic mision salv mund villan pretend control corazon ment nin planet alma inocent podr deten logr deber acud ayud grup brillant chaval empiez andar;0
alantaylor arnoldschwarzenegger jasonclarke emiliaclarke ano guerr futur libr grup rebeld human sistem inteligent artificial skynet cuerd john connor lid resistent kyle rees fiel sold cri ruin postapocalipt californi salvaguard futur connor envi rees salv madr sarah terminator program mat lleg luz john rees esper;0
joedante zachgalligan phoebecates johnglover muert cuidador simpat gremlin llev laboratori antigu duen desp animalill moj multiplic temibl duendecill apoder rascaciel modern york;0
jonmchu dwaynejohnson djcotrona adriannepalicki ocasion joes tendr luch enemig mortal cobr oblig lidi amenaz gobiern pon peligr existent dirig jon chu produc lorenz di bonaventur bri goldn guion rhett rees paul wernick bas personaj joe ® hasbr;0
zacksnyder benaffleck henrycavill galgadot temor accion cab superm vigil gotham city aparec ray superhero metropolis opinion public debat realment hero necesit hombr acer batm sumerg contiend territorial complic peligr amenaz surg rapid pon jaqu existent human;0
johnglen timothydalton careylowell robertdavi agent caz captur peligr narcotraf latinoamerican implic personal cap drog mat amig bond dese veng;0
simonwest angelinajolie jonvoight iainglen explor imperi perd descubr tesor incalcul castig malv combat vid muert … form aventurer lar croft secret padr lar desafi grand triangul luz legendari artefact alter espaci lar encontr triangul caig illuminati socied secret dispuest domin mund deten illumitati lar sobreviv autent caceri trav planet replet inimagin peligr;0
tomshadyac jimcarrey morganfreeman jenniferaniston pas di ́ vid descontent reporter televisi ́ bruc nol divin recrimin dios ide co ́ mo ́ llev asunt desafi ́ dios decid darl capaz ́;1
patrickhughes sylvesterstallone jasonstatham harrisonford grup mercenari dirig barney mision afric encuentr frent frent stonebanks miembr fundador grup barney crei muert stonebanks ric despiad trafic armas gobiern eeuu captur vid llev tribunal internacional;0
martinweisz michaelbaileysmith archiekao jayacovone remak colin ojos wes crav comenz famili cart lleg clar famili cart mision habitual unid sold guardi nacional detien posicion avanz mexic entreg equip grup cientif atom lleg aisl camp investigacion hall misteri desiert divis senal socorr lejan cordiller equip decid emprend mision busqued rescat montan localiz cientif desaparec montan desventur famili cart visit ocasion acech tribu mutant antropofag ocasion fuerz pretend aniquilacion sold;0
kattshea emilybergl jasonlondon amyirving carri rachel viv apart companer institut jov introvert aisl motiv ocult cost sent distint capac mov objet ment don secret telequinesis amor llam puert consecuent descubr terribl filmaffinity;0
timburton charlietahan catherineohara martinshort ment director tim burton alici maravill leyend sleepy hollow surg frankenweeni tiern histori chic mascot pequen perr sparky fallec victor amo amig divers tecnic cientif reviv animal tra vuelt mund viv ajust corporal chic vea monstru perr sparky escap amig colegi nin profesor vecin sabr constru vid lleg terribl escalofri;0
stevenspielberg tyesheridan oliviacooke benmendelsohn ano wad watts adolescent gust evad sombri mund real trav popul utopi virtual escal global llam oasis excentr multimillonari creador muer mor ofrec fortun premi elabor busqued tesor trav rincon inhospit creacion punt part wad jugador enemig corpor competidor despiad dispuest oasis mund real hac premi;1
joelschumacher nicolascage joaquinphoenix jamesgandolfini detectiv priv manten dign famili ocup resolv cas sencill irrelev vid cambi radical investigacion cas qued atrap sord mund espeluzn snuff movi;0
toddphillips bradleycooper edhelms zachgalifianakis the hangov histori desmadr desped solter futur novi amig bod mont juerg padr veg doug viaj ciud jueg amig phil stu futur cun alan juerg campeonat esper manan resac monumental problem incapac record ocurr noch encuentr promet desaparec top sorpres suit hotel tigr beb;1
jeromerobbins robertwise nataliewood richardbeymer russtamblyn modern version rome juliet west sid york barri marginal disput hegemoni band callejer sharks portorriquen jets ascendent europe jef bernard viv herman mari acab lleg york noch bail coincid grup desencaden violent pele;1
joelcoen jeffbridges johngoodman stevebuscemi not hombr fracas par confund person nombr maton irrump apartament destroz alfombr creyend jeff lebowski millonari pasaden error not visit opulent tocay esper repong viej alfombr reticent hero compinch wat ven atrap thrill toqu humorist estil herman coen mezcl extorsion traicion decepcion chantaj sex drog;1
victorfleming judygarland raybolger jackhaley huerfan dorothy gal viv vid sencill kans tia emma clar blandick tio henry pintoresc peon hunk ray bolg zek bert lahr hickory jack haley sever vecin miss gulch margaret hamilton mord perr dorothy tot miss gulch orden sheriff apasion protest tia emma tio henry tot escap regres dorothy alegr momentan miss gulch regres decid llev tot fug busc vid algun arco iris;1
denisvilleneuve ryangosling harrisonford anadearmas anos acontec ocurr blad runn oficial blad runn caz replic departament polici angel descubr secret enterr potencial socied caos investigacion conducir busqued legendari rick deckard antigu blad runn parader desconoc desaparec anos;1
