id;title;overview;release_date;like
535544;Downton Abbey;Película basada en la aclamada serie 'Downton Abbey', escrita y producida por el creador de la misma. El reparto principal de la serie también regresará en sus papeles habituales.;12/9/19;
472674;The Goldfinch;The Goldfinch narra las peripecias de Theo Decker, un niño de 13 años que vive una experiencia traumática el día en que visitaba con su madre el Metropolitan Museum of Art de Nueva York. El museo sufre un atentado terrorista y como consecuencia su madre muere en él, pero Theo sobrevive. En medio de todo el caos, Theo decide robar un cuadro, ante la insistencia de un anciano moribundo. Se trata de 'The Goldfinch', una pintura de 1654, obra del pintor holandés Carel Fabritius.;11/9/19;
474350;It: Capítulo 2;27 años después, los ex-miembros del Club de los Perdedores, que crecieron y se mudaron lejos de Derry, vuelven a unirse tras una devastadora llamada telefónica.;5/9/19;1
291867;Zeroville;Ambientada en 1969, trata sobre Ike Jerome, un estudiante que llega a Hollywood obsesionado con entrar en la industria del cine, introduciéndose de este modo en un mundo de sexo y drogas.;5/9/19;
573791;The Battle - Roar to Victory;Durante un período de 4 días, se produce una feroz batalla entre las milicias independentistas de Corea y las fuerzas japonesas en Manchuria, China. La milicia incluye a Hwang Hae Cheol, que es un maestro con la espada, y Lee Jang Ha, que es un experto tirador.;31/8/19;
574376;Quien a hierro mata;Mario es un encantador enfermero a punto de tener un hijo. Antonio Padín es un conocido narco cuya enfermedad le está volviendo totalmente dependiente. Debido a ello sus hijos Toño y Kike están tomando el control del negocio, que está a punto de emprender una arriesgada operación de narcotráfico. Cuando sus caminos se cruzan, todos escogen la misma salida: venganza.;30/8/19;0
475303;A Rainy Day in New York;Dos jóvenes llegan a Nueva York durante un fin de semana donde se topan con el mal tiempo y una serie de aventuras.;22/8/19;
423204;Angel Has Fallen;"Dos años después de que ""London Has Fallen"", ataque terrorista Air Force One. Pero, una vez más, Mike Banning está allí para salvar el día.";21/8/19;
419704;Ad Astra;Su argumento gira en torno a un ingeniero autista llamado Roy McBride al que su padre abandona para embarcarse en una misión sin retorno a Neptuno con el fin de encontrar signos de inteligencia extraterrestre. 20 años después, McBride emprenderá su propio viaje a través del sistema solar para tratar de encontrarlo, y sobre todo, descubrir por qué su misión fracasó.;18/8/19;
521777;Good Boys;Tres niños de sexto grado abandonan la escuela y se embarcan en un viaje épico mientras transportan drogas robadas accidentalmente, son cazadas por adolescentes y tratan de llegar a casa a tiempo para una fiesta tan esperada.;14/8/19;
568012;One Piece: Stampede;"La película tiene lugar durante la Pirates Expo, ""hecha por piratas para piratas"", donde los piratas de todo el mundo, incluidos algunos de sus personajes más infames, se unen a la búsqueda de un gran tesoro para encontrar un tesoro perdido, esta vez el tesoro. Perteneció nada menos que a Gold Roger!";9/8/19;
534259;Cegado por la Luz;En 1987, durante los días austeros de la Gran Bretaña de Thatcher, un adolescente aprende a vivir la vida, a entender a su familia ya encontrar su propia voz a través de la música de Bruce Springsteen.;9/8/19;
559957;Shanghai Fortress;Ambientada en el futuro, la ciudad de Shanghai China lucha para defenderse contra un ataque en curso de una fuerza alienígena que ha atacado y que ha asediado numerosas ciudades de todo el mundo en su búsqueda por obtener una energía oculta que solo se encuentra en la Tierra.;9/8/19;
475430;Artemis Fowl;La historia de 'Artemis Fowl' es la de un niño de 12 años de edad que está a punto de arrebatar el poder al mundo subterráneo. Lo que él todavía no sabe es que sus habitantes: hadas, duendes, elfos... no son las criaturas maravillosas que siempre hemos imaginado y no van a consentir que un humano conozca sus secretos más sagrados. Como él, van armados hasta las barbas y conocen las últimas tecnologías: se prepara un trepidante duelo que puede provocar una auténtica guerra entre las especies del planeta.;9/8/19;
417384;Historias de miedo para contar en la oscuridad;Un grupo de adolescentes debe resolver el misterio que rodea a una serie de repentinas y macabras muertes que suceden en su pueblo. Producida por Guillermo del Toro.;9/8/19;
508664;Danger Close: The Battle of Long Tan;Agosto de 1966, en Vietnam del Sur. Durante más de tres horas y media, bajo una incesante lluvia y peleando contra el barro y los árboles, el comandante Harry Smith y su unidad con 108 soldados inexpertos tratan de hacer frente a un enemigo que supera las 2500 unidades. La munición se agota, aumenta el número de muertos y el enemigo se prepara para lanzar una última ofensiva que el ejército norteamericano tendrá que tratar de parar con honor, decencia y coraje. La batalla de Long Tan fue uno de los enfrentamientos más importantes de la Guerra de Vietnam.;8/8/19;
499701;Dora y la ciudad perdida (2019);Tras haber pasado la mayor parte de su vida explorando la jungla junto a sus padres, nada podría haber preparado a Dora para la aventura más peligrosa a la que jamás se ha enfrentado: ¡el instituto!. Exploradora hasta el final, Dora no tarda en ponerse al frente de un equipo formado por Botas (su mejor amigo, un mono), Diego, un misterioso habitante de la jungla y un desorganizado grupo de adolescentes en una aventura en la que deberán salvar a sus padres y resolver el misterio oculto tras una ciudad perdida de oro.;8/8/19;0
400090;The Nightingale;Ambientada en Tasmania en 1825, cuenta la historia de una joven irlandesa de 21 años que es testigo del brutal asesinato de su marido y bebé a manos de un grupo de soldados. Incapaz de encontrar justicia, con la ayuda de un rastreador aborigen emprenderá un viaje por el desierto en busca de venganza...;2/8/19;
454640;The Angry Birds Movie 2;The Angry Birds Movie 2 es una futura película 3D ordenador de comedia animada producida por Rovio Animation. Es la secuela de Angry Birds: La película;2/8/19;0
384018;Fast & Furious: Hobbs and Shaw;"Spin-off de la franquicia cinematográfica ""Fast & Furious"" (""A todo gas"" en España, ""Rápidos y furiosos"" en Latinoamérica) centrado en los personajes Hobbs y Shaw, interpretados por Dwayne Johnson y Jason Statham. Hobbs es un policía que aplica la ley. Shaw es un mercenario sin ley. Shaw intentó matar a Hobbs. Hobbs encarceló a Shaw. Hobbs es estadounidense. Shaw es británico. A primera vista, los dos hombres no tienen nada en común.";1/8/19;0
558594;Safornication, la película;"Película ambientada en la galardonada serie por estrenar ""Safornication""  Safornication narra las aventuras que giran en torno a Gerard Puig, un joven de la Safor, una comarca valenciana de España, que ha vivido grandes historias. Gerard, que tiene 26 años, comienza a intentar girar el rumbo de su vida a medida que se acerca a los 30 pero no será fácil cambiar lo que ha sido su estilo de vida de los últimos diez años. Desde los 16, se percató que lo que le hacía feliz era vivir en la improvisación: viajes planeados de repente, escapadas en momentos inoportunos, fiestas inacabables, miedo al compromiso..todo ello creando un ambiente en el que, rendir en la universidad, mantener su reputación social, contentar a la familia y encontrar la chica adecuada una y otra vez, será toda una hazaña de lo más divertida, insólita y con mucho alcohol, a la par que difícil. Su circulo de amigos, no ayuda demasiado a nuestro joven protagonista.";1/8/19;
572164;Exit;Yong-Nam (Cho Jung-Seok) ha estado desempleado durante años. Tiene una celebración de cumpleaños número 70 para su madre en un salón de convenciones. Allí, Yong-Nam se encuentra con Ui-Joo (Yoona). Se graduó de la misma universidad que Yong-Nam. En ese momento, el gas venenoso se extiende por toda la ciudad.;31/7/19;
587272;Padre no hay más que uno;Javier es lo que hemos bautizado como un “marido-cuñao”. Ese que sin ocuparse en absoluto de lo que supone el cuidado de la casa y de los niños, sabe perfectamente qué es lo que hay que hacer, y que continuamente regala a su mujer frases del tipo: “Es que no te organizas”, o “no te pongas nerviosa”, ya que considera que su desbordada mujer se ahoga en un vaso de agua. Javier tendrá que enfrentarse a la realidad que supone bregar con cinco hijos (de entre cuatro y doce años) cuando su mujer decide irse de viaje y dejarle solo con ellos. La caótica situación que se provoca en casa evolucionará de forma progresivamente cómica hasta el desastre más absoluto, pero a la vez les dará la oportunidad a padre e hijos de conocerse y disfrutarse por primera vez. Una experiencia que cambiará sus vidas para siempre.;26/7/19;
486589;Red Shoes & the 7 Dwarfs;Los príncipes convertidos en enanos buscan los zapatos rojos de una dama para romper el hechizo, aunque no será fácil. Una parodia con un giro inesperado.;25/7/19;
466272;Érase una vez en Hollywood;"“La historia tiene lugar en Los Ángeles, 1969, en el momento álgido del movimiento hippie. Protagonizada por Rick Dalton (Leonardo DiCaprio); ex estrella de una serie Western, y su doble de acción Cliff Booth (Brad Pitt). Ambos luchan por triunfar en un Hollywood que ya no reconocen. Pero Rick tiene una vecina muy famosa… Sharon Tate”.  Los asesinatos de Charles Manson y familia formarán parte del marco en el que se mueven los personajes.";25/7/19;1
537056;Batman: Hush;"Un nuevo villano de quien sólo se conoce el nombre, ""Hush"", emplea a todos los enemigos de Gotham para destruir la vida tanto de Batman, el héroe, como la de Bruce Wayne, el empresario y playboy que ahora mantiene una relación íntima con Selina Kyle, también conocida como ""Catwoman"". Adaptación de uno de los grandes clásicos del universo DC: ""Batman: Hush"" escrito por Jeph Loeb y dibujado por Jim Lee.";20/7/19;
568160;Tenki no Ko: Weathering with you;"Hotaka Morishima es un estudiante de secundaria que se muda a Tokio para dejar atrás su vida en una isla aislada del mundo. Allí conocerá a Akina Amano, una chica con el misterioso poder de manipular y controlar el clima a su antojo. Dirigida y escrita por Makoto Shinkai (""Your Name"")";19/7/19;
577055;Staff Only;Una familia se va de vacaciones a un resort de Senegal. La hija adolescente lucha por conocer a gente de su edad y hacer amigos. Finalmente conoce a un trabajador del hotel que sueña con ser cineasta mientras graba las excursiones de los visitantes. El problema de las desigualdades sociales y las diferentes culturas serán una traba para la chica que comenzará a darse cuenta de cómo funciona el mundo.;17/7/19;
420818;El Rey León;Un remake del clásico animado de Disney de 1994 'El rey león' que estará dirigido por Jon Favreu. Simba (Donald Glover) es el hijo del rey de los leones, Mufasa, y heredero de todo el reino. Pero cuando su padre es brutalmente asesinado por su tío Scar, decidirá huir, dejando vía libre para que su tío tome el puesto de su padre como líder de la manada. En su camino, Simba se encuentra con el suricato Timón y el jabalí Pumba, que le enseñarán a vivir la vida sin preocupaciones. Pero el joven león se verá obligado a decidir entre su vida libre de problemas o su destino como rey.;12/7/19;0
480001;The Art of Self-Defense;Un hombre que es atacado mientras camina solo por la calle (Jesse Eisenberg) decide apuntarse en un dojo de karate, donde un peculiar y carismático maestro (Alessandro Nivola) le enseña mucho más que a defenderse a sí mismo.;12/7/19;
542930;Lo nunca visto;Teresa (Carmen Machi) ve apagarse Fuentejuela de Arriba, la pequeña aldea de la montaña donde ha vivido toda su vida. Pero el pueblo recibe una visita inesperada: en medio de la nieve aparece un desubicado grupo de africanos… cuya llegada conmociona la aldea. Teresa lo tiene claro: huidos de una situación de explotación a la que habían llegado engañados, los africanos quieren quedarse en España como sea… y esa puede ser la solución al problema de falta de habitantes en el pueblo. Con ayuda de sus amigos Jaime (Pepón Nieto), y el “Guiri” (Jon Kortajarena) decide ocultarlos y armar un plan. Poniendo patas arriba prejuicios y expectativas, los recién llegados y los habitantes locales trabajarán juntos para que su hogar continúe existiendo.;12/7/19;
513045;Stuber;La vida de un apacible conductor de Uber, Stu (Kumail Nanjiani), cambia repentinamente cuando se sube a su vehículo un pasajero (Dave Bautista) que resulta ser un policía que sigue la pista a un brutal asesino. Stu se ve obligado a luchar por salvar la vida, protagonizando una misión en la que nunca pidió participar, y cuyo principal objetivo tiene claro desde que descubre lo que está sucediendo: obtener las cinco estrellas de calificación en este movido viaje.;11/7/19;
511987;Infierno Bajo el Agua;Una mujer (Kaya Scodelario) lucha por salvar a su padre cuando se produce en Florida un huracán de categoria 5. Sin embargo, mientras ambos tratan de huir la tormenta les deja encerrados detro de una casa que se inunda y en la que tendrán que hacer frente a una legión de extraños depredadores.;11/7/19;0
587070;Elcano y Magallanes: La primera vuelta al mundo;Esta película relata lo acontecido en la que es la primera vuelta al mundo de la historia, y cómo un grupo de navegantes se embarcaron en un viaje a lo desconocido con el objetivo de llegar a las Islas Moluscas, situadas en las antípodas. Este salvaje territorio está lleno de animales y plantas de lo más espectaculares. Los aventureros de esta historia tendrán que lidiar con tormentas, hambre, indígenas y todo tipo de problemas con los que se encuentren en su camino.Ángel Alonso dirige Elcano: La primera vuelta al mundo, que tiene como guionistas a Garbiñe Losada y José Antonio Vitoria. La película cuenta con la banda sonora original compuesta por Joseba Beristain.;5/7/19;
589203;522. Un gato, un chino y mi padre;George convive con una peculiar versión de agorafobia que limita su universo a un perímetro de 522 pasos con respecto a su casa... pero un día su gato, su único compañero, muere y se ve obligada a emprender un viaje singular. Decidida a darle un lugar de sepultura adecuado, instala su ‘hogar’ en una camioneta y emprende un viaje por carretera de regreso a su patria natal, Portugal. Esta aventura revelará que, entre saudade y fados, quizá halle un modo particular de hacer frente a su pasado.;5/7/19;
434714;My Days of Mercy;La hija de un hombre en el corredor de la muerte se enamora de una mujer en el lado opuesto de la causa política de su familia.;4/7/19;
359724;Ford v. Ferrari;Se centra en un excéntrico y decidido equipo americano de ingenieros y diseñadores liderados por el visionario automovilístico Carroll Shelby (Damon) y su conductor británico Ken Miles (Bale). Henry Ford II y Lee Iacocca les dan la misión de construir desde cero un nuevo automóvil con el fin de derrocar el dominio de Ferrari en el Campeonato del Mundo de Le Mans de 1966.;3/7/19;
531735;Ibiza;Philippe y Carole, ambos divorciados, acaban de conocerse. Muy enamorado, Philippe está listo para hacer cualquier cosa para poner a los dos adolescentes de Carole en el bolsillo. Le ofrece un trato al hijo mayor: si tiene su bachillerato, elige su lugar de vacaciones. Y lo será - Ibiza. Pero para Philippe, bastante acostumbrado a unas vacaciones tranquilas en la Bahía de Somme, es un verdadero shock.;3/7/19;
428836;Ophelia;Ophelia (Daisy Ridley), es una joven adolescente e impetuosa que reside en el castillo de Elsinore como una de las personas de confianza de la Reina Gertrude (Naomi Watts). Su personalidad no pasa desapercibida ante los ojos del Príncipe Hamlet (George MacKay), a quien conquista rápidamente. Ambos se enzarzan en un apasionado romance secreto mientras su reino se encuentra al borde de entrar en guerra, plagado de traición y de intrigas palaciegas. Cuando el padre de Hamlet es asesinado, llevando al príncipe a una sed implacable de venganza, Ophelia trata de contener a las altas esferas del poder danés mientras que lucha por decidir entre ser fiel a su corazón o huir para conservar su propia vida. Versión de Hamlet desde la perspectiva de Ofelia.;28/6/19;
429617;Spider-Man: Lejos de Casa;Peter Parker decide irse junto a Michelle Jones, Ned y el resto de sus amigos a pasar unas vacaciones a Europa después de los eventos ocurridos en Vengadores: EndGame. Sin embargo, el plan de Parker por dejar de lado sus superpoderes durante unas semanas se ven truncados cuándo es reclutado por Nick Fury para unirse a Mysterio (un humano que proviene de la Tierra 833, una dimensión del Multiverso, que tuvo su primera aparición en Doctor Strange) para luchar contra los Elementales (cuatro entes inmortales que vienen de la misma dimensión y que dominan los cuatro elementos de la Naturaleza, el fuego, el agua, el aire y la tierra) . En ese momento, Parker vuelve a ponerse el traje de Spider-Man para cumplir con su labor.;28/6/19;1
575440;Los días que vendrán;Vir (30) y Lluís (32) hace solo un año que salen juntos, cuando descubren que están “embarazados”. Durante 9 meses, seguiremos la aventura de esta joven pareja barcelonesa, el giro enorme que dará su vida, sus miedos, alegrías, sus expectativas y las realidades que, durante su embarazo, crecen ante ellos.  Filmada a lo largo de los nueve meses de gestación real de la pareja de actores protagonistas, Los días que vendrán es el relato minucioso del proceso de aprender a ser tres cuando no se ha tenido el tiempo de aprender a ser dos, explorando la dificultad de compartir con el otro esta experiencia profundamente transformadora.;28/6/19;
568064;Azahar;Al final de la Edad Media, cuando las centenarias disputas entre cristianos y árabes llegaban a su fin en la Península Ibérica. Azahar, una niña árabe despierta e inteligente, recibe de su tío Amir -gran aventurero-, el mapa que señala la ubicación de un antiguo tesoro. La leyenda cuenta que el corazón de una montaña, se convirtió con el paso de los siglos en un poderoso y mágico diamante.;28/6/19;
529209;Los Japón;En 1614 una expedición japonesa encabezada por el nieto del emperador desembarcó en el pueblo sevillano de Coria del Río, y el heredero al trono se enamoró de una bella sevillana, formó una familia y nunca regresó a Japón. 400 años después, el Emperador Satohito muere y el heredero legítimo resulta ser Paco Japón, vecino de 37 años de Coria del Río. La vida de Paco y de su familia cambiará drásticamente al verse de la noche a la mañana viviendo en el Palacio Imperial y preparándose para ser los nuevos Emperadores de Japón. El choque cultural y lingüístico entre japoneses y andaluces provocará situaciones cómicas y disparatadas en esta aventura donde Oriente y Occidente se dan la mano.;28/6/19;0
363929;Rigoletto;"La corrupción de la inocencia se sitúa en el centro mismo de la potente tragedia de Verdi en la producción de David McVicar para The Royal Opera.  La producción de David McVicar subraya la crueldad en el seno de la corte de Mantua. Cortesanos ricamente vestidos participan en orgías y jolgorios al son de las pegadizas y animadas danzas de Verdi. Entre los muchos números musicales famosos de la ópera se encuentran la efervescente “La donna è mobile”, en la que el duque alardea de su desprecio por las mujeres; los exquisitos y quejumbrosos dúos con Rigoletto y el duque; y el extraordinario cuarteto del Acto III, que entreteje hermosamente las voces al tiempo que la historia se encamina a toda prisa hacia su devastadora conclusión.";27/6/19;
515195;Yesterday;El cineasta británico Danny Boyle (T2: Transpotting, Steve Jobs) dirige este filme musical cuyo guión escribe Richard Curtis (Una cuestión de tiempo). El reparto principal de la película está formado por Lily James (La sociedad literaria y el pastel de piel de patata), Kate McKinnon (Cazafantasmas), Ana de Armas (Blade Runner 2049), Himesh Patel (Gente de barrio), además del cantante y compositor británico Ed Sheeran.;27/6/19;
503742;The Mountain;En América, 1950, un joven introvertido, tras perder a su madre, decide trabajar con un doctor especializado en terapias y lobotomías. Mientras avanza por el asilo, el joven empieza a sentirse identificado con los pacientes.;26/6/19;
521029;Annabelle vuelve a casa;"Annabelle Vuelve a Casa es la tercera entrega de la saga ""Annabelle"" de New Line Cinema, protagonizada por la infame y siniestra muñeca del universo ""Expediente Warren"". Los demonólogos Ed y Lorraine Warren están decididos a evitar que Annabelle cause más estragos, así que llevan a la muñeca poseída a la sala de objetos bajo llave que tienen en su casa. La colocan ""a salvo"" en una vitrina sagrada bendecida por un sacerdote. Pero una terrorífica noche nada santa, Annabelle despierta a los espíritus malignos de la habitación que se fijan un nuevo objetivo: la hija de diez años de los Warren, Judy, y sus amigas.";26/6/19;1
352504;Burn Your Maps;Un estadounidense de 8 años de edad declara a sus padres que en realidad es un pastor de cabras de Mongolia nacido en el lugar equivocado. Cuando conoce a un cineasta indio desplazado del mismo modo, inician un viaje de búsqueda de lo que ellos creen que es su verdadero lugar en el mundo.;21/6/19;
555795;Esto no es Berlin;"A las puertas de la Copa Mundial de Fútbol de 1986, Carlos, un chico de diecisiete años, está más interesado en escuchar música y admirar a Rita, la hermana de su mejor amigo, Gera. Su vida monótona termina cuando la banda gótica de Rita les introduce a un club nocturno clandestino, ""El Azteca"". Ambos quedarán embelesados con este mundo de performances, ambigüedad sexual y drogas. Sin embargo, en esta exploración de sus nuevas identidades, también se pondrá a prueba su amistad.";21/6/19;
565593;Un atardecer en la Toscana;La ganadora del Premio Nobel Marie Linde (Krystyna Janda), una mujer de espíritu libre que vive junto a su familia en la cálida Toscana, mantiene un affaire con un joven egipcio, que es el dueño del hotel de una playa cercana. Cuando un suceso atroz sacude los cimientos de la vida de ambos, Marie se propone resistir ante la histeria que se ha generado a su alrededor. Decidida a cambiar las cosas, y aprovechando que recibe un premio local, Marie pronuncia un discurso que crea una auténtico caos a nivel personal y social para el que no estaba preparada.;21/6/19;
589457;La Banda;Edu, un joven músico que vive en el extranjero, vuelve a su Valencia natal para asistir a la boda de su hermano. El retorno despierta en él la necesidad de recuperar todo lo que dejó atrás: especialmente a Alicia, la eterna novia de su mejor amigo.;21/6/19;
480100;Nightmare Cinema;Película compuesta por varios cortos que se centra en un grupo de individuos que entran a un decrépito cine Rialto. El proyeccionista se encargará de que todos sus miedos aparezcan en pantalla.;21/6/19;
530079;Riding a Wave with You;Tras acceder a la Universidad, Hinako se muda a un pueblo de la costa. Allí se dedica a coger olas, pues se siente invencible cuando surfea, pera sigue sin tener claro qué le depara el futuro. Cuando se desata un fuego en el pueblo, Hinako conoce al joven bombero Minato. A medida que ambos comparten su tiempo mientras se dedican a su deporte favorito, Hinako comienza a darse cuenta de que lo que más desea en el mundo es, como Minato, ayudar a otras personas.;21/6/19;
588224;The Quiet One;"""The Quiet One"" ofrece un recorrido nunca visto a través de los éxitos y fracasos de la vida y carrera de Bill Wyman, miembro original de los Rolling Stones. Desde sus inicios en el grupo fundado por Brian Jones hasta la actualidad, Bill ha sido una figura clave en la historia del rock 'n' roll.";21/6/19;
